City,Country,Airport Name,IATA
Istanbul,Turkey,Istanbul Airport,IST
,,Sabiha Gökçen International,SAW
Moscow,Russia,Sheremetyevo International,SVO
,,Domodedovo International,DME
,,Vnukovo International,VKO
,,Zhukovsky International,ZIA
London,UK,Heathrow Airport,LHR
,,Gatwick Airport,LGW
,,Stansted Airport,STN
,,Luton Airport,LTN
,,London City Airport,LCY
,,London Southend,SEN
St. Petersburg,Russia,Pulkovo Airport,LED
Berlin,Germany,Berlin Brandenburg Airport,BER
Madrid,Spain,Adolfo Suárez Madrid–Barajas,MAD
Kyiv,Ukraine,Boryspil International,KBP
,,Igor Sikorsky (Zhuliany),IEV
Rome,Italy,Fiumicino – Leonardo da Vinci,FCO
,,Ciampino – G. B. Pastine,CIA
Baku,Azerbaijan,Heydar Aliyev International,GYD
Paris,France,Charles de Gaulle,CDG
,,Orly Airport,ORY
,,Beauvais–Tillé (serves Paris),BVA
Bucharest,Romania,Henri Coandă International,OTP
,,Aurel Vlaicu (Băneasa),BBU
Minsk,Belarus,Minsk National Airport,MSQ
Vienna,Austria,Vienna International,VIE
Warsaw,Poland,Warsaw Chopin,WAW
,,Warsaw Modlin,WMI
Hamburg,Germany,Hamburg Airport,HAM
Budapest,Hungary,Ferenc Liszt International,BUD
Barcelona,Spain,Josep Tarradellas Barcelona–El Prat,BCN
Belgrade,Serbia,Belgrade Nikola Tesla,BEG
Munich,Germany,Munich Airport,MUC
Kharkiv,Ukraine,Kharkiv International,HRK
Milan,Italy,Malpensa Airport,MXP
,,Linate Airport,LIN
,,Orio al Serio (Bergamo),BGY
Prague,Czechia,Václav Havel Airport Prague,PRG
Sofia,Bulgaria,Sofia Airport,SOF
Kazan,Russia,Kazan International,KZN
Tbilisi,Georgia,Tbilisi International,TBS
Nizhny Novgorod,Russia,Strigino International,GOJ
Brussels,Belgium,Brussels Airport,BRU
,,Brussels South Charleroi,CRL
Birmingham,UK,Birmingham Airport,BHX
Yerevan,Armenia,Zvartnots International,EVN
Samara,Russia,Kurumoch International,KUF
Ufa,Russia,Ufa International,UFA
Cologne,Germany,Cologne Bonn Airport,CGN
Rostov-on-Don,Russia,Platov International,ROV
Krasnodar,Russia,Krasnodar International,KRR
Volgograd,Russia,Volgograd International,VOG
Perm,Russia,Bolshoye Savino,PEE
Voronezh,Russia,Voronezh International,VOZ
Odessa,Ukraine,Odessa International,ODS
